id,motivo_de_se_considerar_flex,fonteinfo_flex,motivacao,dificuldade,genero,cor_raca,escolaridade
978,"porque procuro, pelo menos, uma vez na semana nao comer carne",midias,impacto_ambiental,a falta de colaboracao da minha familia.,mulher_cis,preta,medio
979,decidi diminuir o consumo excessivo de carne ao descobrir que existiam outros alimentos que possuem tantas proteinas quanto a carne vermelha,midias,impacto_ambiental,ver outras pessoas da minha casa comendo e eu decidir nao comer naquele dia,mulher_cis,branca,superior
980,"nunca fui muito fa de carnes, sempre preferi ovo na minha casa reduzimos o consumo porque nao gostamos de preparar e tbm para economizar na feira",outros,aversao,nenhuma,mulher_cis,branca,medio
981,"porque reduzi conscientemente meu consumo de carne, com o objetivo de cuidar da minha saude",midias,saude,nenhuma,homem_cis,preta,superior
982,porque fui criada comendo todos dias e hoje diminui muito e sei que ainda preciso diminuir Vai ser impossivel comer carne pela sustentabilidade ambiental,outros,impacto_ambiental,habito alimentar,mulher_cis,branca,doutorado
983,"porque carne e uma coisa que nunca me deu falta no prato, porem como eu moro em uma casa com varias pessoas e um almoco so, a alem da minha rotina ser bem corrida, mas o maximo que eu posso diminuir, eu diminuo",midias,impacto_ambiental,"de ter pouco tempo para cozinhar minha propria comida e nao morar so, o que dificulta comer o que eu gosto, porque as pessoas la de casa, nao curtem muito",mulher_cis,parda,superior
984,"nunca gostei muito de carne, e a sensacao que me da depois de comer nao e legal e um cheio ruim",outros,aversao,conveniencia,homem_cis,branca,medio
985,"primeiro por conta do preco, segundo pra reducao de gordura saturada",midias,saude,nenhuma,mulher_cis,branca,superior
986,por opcao de dieta e influencia de mae nutricionista maior variedade de nutrientes,midias,saude,habito e convivencia social,homem_cis,branca,superior
987,por ter reduzido meu consumo de carne drasticamente nos últimos 6 meses,midias,saude,"o mercado da carne esta a todo tempo tentando nos convencer a consumir carne. tudo tem carne, e o mercado alimenticio da cidade onde moro nao oferece essas opcões em pizzarias, restaurantes e afins",mulher_cis,parda,superior
988,"diminui meu consumo de carnes, principalmente bovina alem de nao consumir mais peixes como atum e salmao principalmente por consciencia ambiental passei a consumir mais graos e tuberculos",midias,impacto_ambiental,poucas opcões vegetarianas em restaurantes.,homem_cis,branca,superior
989,"sempre que e possivel, opto por outra opcao de proteina",essa_pesquisa,saude,nenhuma,mulher_cis,branca,superior
990,pois nao como carne todos os dias ou qnd como sao em pequenas porcões pois nao,amigos,etica_animal,nenhuma,mulher_cis,branca,medio
991,porque nao vejo o consumo de carne como algo totalmente necessario e que pode ser balanceado,midias,etica_animal,informacões sobre o preparo de outros alimentos que possam substituir a carne,mulher_cis,branca,superior
992,preocupacao com doencas relacionadas ao excesso de carne,midias,saude,dificuldade de organizar uma dieta com a correria do dia a dia. refeicões a base de carne sao mais faceis de comprar,homem_cis,parda,superior
993,"nunca compro carne para comer em casa, seleciono um momento ou dia especial como almocar na casa dos meus pais, preparar o peixe que eu e meus amigos pescamos, conhecer um menu ou um restaurante novo etc",escola_universidade,impacto_ambiental,"acredito que o cuidado com o desenvolvimento e criacao de opcões vegetarianas, em restaurantes como o camarões, o maior do estado, so contem tres opcões que nao tem tanta graca quando comparamos a pratos com carne.",homem_cis,branca,superior
994,"mudei minha concepcao sobre a necessidade de consumo de ptn animal antes entendia que refeicao so era refeicao se tivesse hoje, consumo uma refeicao vegana, inclusive sem soja, tranquilamente",outros,etica_animal,"falta de praticidade, necessidade de planejamento na cozinha, poucas opcões ao comer fora, preco dos substitutos veganos",mulher_cis,branca,mestrado
995,"nao considero a carne como ""personagem principal do meu prato"" e estou sempre aberta a novas fontes de proteinas",midias,saude,falta de opcões nos locais e eventos + demora no preparo das leguminosas,mulher_cis,branca,superior
996,"costumo experimentar e cozinhar alimentos vegetarianos ou veganos, nao sinto falta da carne quando passo muitos dias sem comer carne animal, na verdade, so como carne animal ainda porque geralmente e mais rapido de preparar e cozinhar",outros,impacto_ambiental,"falta de tempo para cuidar de uma horta orgânica, livre de agrotoxicos e preparar as refeicões vegetarianas e veganas de forma saudavel.",mulher_cis,indigena,superior
997,-,essa_pesquisa,saude,gostar do sabor,mulher_cis,amarela,superior
998,"nao conhecia nem o termo, mas vi que me enquadro, pois tenho a consciencia de comer muita carne e tambem a consciencia de diminuir",midias,saude,habito alimentar e cultura,homem_cis,branca,superior
999,por fazer pouco consumo de carnes,midias,impacto_ambiental,substituicao,mulher_cis,branca,superior
1000,"nao me adequo ao paladar de consumo de carnes vermelhas, frango e dervidados
contudo, consumo peixe, camarao",midias,aversao,disponibilidade de alimentos substitutos,homem_cis,parda,superior
1001,"pois nao consumo mais carne bovina opto frequentemente por frango e ovos ao inves de enlatados, linguica, etc",outros,saude,valor dos hamburgueres vegetais,mulher_cis,parda,superior
1002,porque decidi diminuir o consumo de carne para melhorar minha alimentacao,essa_pesquisa,saude,nenhuma,mulher_cis,branca,mestrado
1003,"porquestoes financeiras, de bem-estar animal, e de impacto_ambiental, visto que temos opcões equivalentes para substituir a proteina animal",escola_universidade,impacto_ambiental,"preparo dos alimentos, alguns quando nao bem preparados nao ficam tao agradaveis ao paladar e por questao de habito.",homem_cis,preta,superior
1004,porque diminui o consumo de carne da monha dieta e pretendo deixar de comer carne totalmente,midias,etica_animal,substituicao que seja saborosa e nutritiva,mulher_cis,parda,mestrado
1005,"porque tento reduzir ao maximo o consumo de carne, apesar de nao conseguir ter feito totalmente",midias,etica_animal,"fato de eu nao gostar de comer graos, reduzindo as opcões para substituicao.",mulher_cis,preta,superior
1006,"porque eu nao necessito comer tanta carne para me alimentar bem, principalmente carne de animais que sao torturados e tem uma qualidade de vida horrivel desde novinhos alem das criacões de gado trazer grandes impactos ambientais",midias,etica_animal,praticidade do preparo da carne/frango para a correria do dia a dia.,mulher_cis,branca,medio
1007,"porque estou evitando o consumo de proteina animal, pensando nas florestas e bem estar animal",amigos,impacto_ambiental,valor dos produtos,homem_cis,branca,mestrado
1008,"porque tento reduzir cada vez mais o consumo de carne durante o passar dos anos e, geralmente, quando ha opcões entre pratos com carne e vegetarianos, opto pelas opcões sem carne",midias,etica_animal,dieta familiar compartilhada,mulher_cis,parda,mestrado
1009,"primeiro pelos precos, esta cada vez mais dificil comprar carne, segundo pelo historico familiar de doencas que tiveram a carne vermelha como uma das causas",amigos,saude,nenhuma,mulher_cis,parda,medio
1010,"porque eu consumo pouca carne bovina, utilizando mais outras opcões de proteinas, por digestibilidade e financeiro",essa_pesquisa,saude,nenhuma,mulher_cis,parda,superior
1011,"eu nao me dou esse nome porque essa representacao nao me importa, mas mesmo sendo pernambucana litorânea de nascenca e agrestina por pertenca, nao tenho tanto desejo por carne em geral topo comer mais em eventos especiais como refeicões com amizades, mas se eu comandar a refeicao em acordo com quem vou oferecer, nao priorizo carne e respeito a preferencia dos que vou oferecer enquanto nao tiver intimidade com agricultores tradicionais/orgânicos, me encontro nessa pratica",outros,saude,"na rotina da residencia nao dava pra planejar a alimentacao, entao tinha que compensar como era possivel minhas necessidades nutritivas. (foi durante a residencia, me entendendo a caminho do candomble, que aprendi a gostar de acaraje, e um bar de comida baiana abriu na frente do meu predio, o que me salvou depois de muitos plantões no servico). depois da residencia nao encontrei grandes dificuldades. no festival de inverno de garanhuns que vivi apos concluir a residencia, hospedei amizades vegetarianas e veganas muito solicitas, que cuidaram deliciosamente das refeicões e ainda deixaram comida congelada pra agradecer o apoio. mas em geral penso no quanto a minha falta de intimidade com agricultores tradicionais/orgânicos afeta meus cuidados alimentares, quando nao consigo repor a despensa por meus criterios prazerosos/nutritivos nao encontrarem as opcões preferidas nas feiras populares e mercados da semana, ou ainda nao consigo plantar a horta que planejo em casa. minhas amizades de convivio constante, cada qual a sua maneira, sabem se alimentar muito bem com os recursos que dispõem. problema grande ta sendo a escalada dos precos versus a busca infinda de contratacao pra servidora da saúde pela seguranca trabalhista e financeira…",mulher_cis,branca,superior
1012,quis adotar uma dieta que reduzisse o consumo de carne,amigos,etica_animal,poucas opcões de pratos em restaurantes nao-vegetarianos,mulher_cis,parda,superior
1013,nao,meus_pais,saude,gostar do sabor,mulher_cis,branca,superior
1014,porque venho reduzindo o consumo de carne,escola_universidade,aversao,opcões para substituicao em estabelecimentos comerciais,mulher_cis,parda,doutorado
1015,"saude, motivos religiosos, preocupacao socioambiental",outros,religiao,habito alimentar,homem_cis,branca,superior
1016,"sempre que possivel evito a carne animal, mais pela vida deles, embutidos e enlatados nao gosto",midias,impacto_ambiental,substituicao no almoco,mulher_cis,parda,superior
1017,devido a impacto_ambiental e modo de abate dos animais em confinamento,midias,etica_animal,tempo de preparo nas substituicões da carne e criatividade ao cozinhar,mulher_cis,parda,superior
1018,"nao sei se entendi a pergunta decidi quase zerar o consumo de carne porquestoes de consciencia ambiental, e tambem por saude",essa_pesquisa,impacto_ambiental,as opcões de variacao de cardapio sao mais escassas,mulher_cis,branca,doutorado
1019,porque evito o consumo exacerbado de carne,essa_pesquisa,impacto_ambiental,poucas opcoes em restarurantes,mulher_cis,branca,superior
1020,"nao acho que o brasileiro deva renunciar totalmente ao consumo de carne temos um vasto territorio e ao longo da historia sempre fomos um povo faminto com pouco acesso a carne que deixe de comer carne o povo europeu, que ja comeu demais ao longo dos tempos para alem disso, entendo que faz parte da natureza o homem matar e comer um outro animal, porem devemos procurar comer carnes oriundas de animais criados sem sofrimento e sem derrubamento de matas nativas, a exemplo de aves que podem ser criadas em pequenos espacos e cujos dejetos sao otimos fertilizantes",escola_universidade,etica_animal,"as alternativas a carne como cogumelos, tofu, lentilhas e grao de bico ainda sao de dificil acesso no nordeste brasileiro. os cogumelos sao faceis de preparar mas nao existe producao local para que cheguem frescos e a baixo custo para a populacao. tofu so se encontra em mercados especializados e um preco elevado. lentilha e grao de bico sao mais faceis e menos caras, porem, ainda ha desconhecimento e dificuldade de prepara-las de modo que fique saboroso. e necessario tempo e bastante tempero, enquanto que para um pedaco de carne basta um pouco de sal e frigideira.",mulher_cis,branca,superior
1021,etica_animal e etica_animal,midias,impacto_ambiental,consumir a quantidade diaria de proteinas,mulher_cis,parda,medio
1022,porque nao como mais carne vermelha,outros,saude,gostar do sabor,mulher_cis,parda,medio
1023,consumo carne apenas na refeicao do almoco,escola_universidade,impacto_ambiental,substitulo que se iguale ao sabor,mulher_cis,branca,medio
1024,porque nao consumo carne em todas as refeicões,outros,saude,gostar do sabor e nao poder retirar a carne por questoes religiosas,mulher_cis,branca,doutorado
1025,necessidade financeira,midias,saude,nenhuma,mulher_cis,preta,medio
1026,o amor pelos animais,escola_universidade,etica_animal,habito alimentae,mulher_cis,branca,superior
1027,porque eu deliberadamente tenho reduzido meu consumo de carne,midias,saude,"as pessoas fora da minha casa nao estarem envolvidas nesse movimento, mas, como tenho passado bastante tempo em casa, nao e um problema tao grande.",homem_cis,branca,medio
